load_param_max,dim_m_sum_to_vw,awkward_floor_share
0,2.04,0.5
0,3.3200000000000003,0.6666666666666666
0,3.2800000000000002,0.5
0,3.2,0.5
0,4.36,1.0
0,2.48,0.4
0,2.52,0.4
0,3.56,0.8333333333333334
0,5.2,0.7777777777777778
0,3.56,0.42857142857142855
0,5.0,0.7777777777777778
0,5.08,0.7777777777777778
0,2.92,0.8
0,4.2,0.8571428571428571
0,2.4,0.2
0,3.4400000000000004,0.6666666666666666
0,4.36,0.625
0,2.96,0.8
0,4.76,0.5555555555555556
0,3.92,0.7142857142857143
0,4.2,0.8571428571428571
0,2.92,0.8
0,3.76,0.5714285714285714
0,3.8,0.5714285714285714
0,3.84,0.7142857142857143
0,4.36,0.75
0,5.0,0.7777777777777778
0,4.48,0.75
0,4.96,0.7777777777777778
0,4.28,0.625
0,4.36,0.875
0,3.36,0.42857142857142855
0,3.8000000000000003,0.7142857142857143
0,3.0,0.6666666666666666
0,4.44,0.75
0,4.16,0.75
0,5.08,0.7777777777777778
0,5.32,0.6
0,3.2,0.6666666666666666
0,4.5600000000000005,0.875
0,4.36,0.75
0,5.5600000000000005,0.8
0,3.12,0.6666666666666666
0,4.48,0.875
0,5.92,0.7272727272727273
0,4.08,0.8571428571428571
0,3.4000000000000004,0.5
0,5.56,0.5454545454545454
0,2.2,0.75
0,3.48,0.8333333333333334
0,3.56,1.0
0,4.640000000000001,0.875
0,5.4,0.8888888888888888
0,6.08,0.7272727272727273
0,3.2,0.8333333333333334
0,2.84,0.8
0,4.640000000000001,0.75
0,3.76,0.5714285714285714
0,6.48,0.75
0,3.3600000000000003,0.8333333333333334
0,4.12,0.8571428571428571
0,3.48,0.8333333333333334
0,4.08,0.8571428571428571
0,3.44,0.8333333333333334
0,4.12,0.8571428571428571
0,2.48,0.4
0,4.28,0.75
0,4.48,0.75
0,4.4,0.75
0,4.08,0.8571428571428571
0,4.5600000000000005,0.75
0,5.44,0.7
0,3.3600000000000003,0.6666666666666666
0,4.24,0.8571428571428571
0,4.32,0.75
0,4.5200000000000005,0.75
0,3.52,0.8333333333333334
0,4.2,1.0
0,3.2800000000000002,0.6666666666666666
0,4.04,0.7142857142857143
0,3.48,0.8333333333333334
0,3.56,1.0
0,4.04,0.8571428571428571
0,4.720000000000001,0.5555555555555556
0,4.5600000000000005,1.0
0,3.4400000000000004,1.0
0,3.24,0.3333333333333333
0,4.36,0.875
0,5.08,0.7777777777777778
0,3.92,0.7142857142857143
0,7.04,0.6923076923076923
0,3.96,0.7142857142857143
0,5.0,0.6666666666666666
0,2.88,0.8
0,5.5200000000000005,0.7
0,3.92,0.7142857142857143
0,5.44,0.7
0,6.16,0.7272727272727273
0,3.2800000000000002,0.6666666666666666
0,5.36,0.8
0,3.92,0.8571428571428571
0,4.84,0.7777777777777778
0,2.8400000000000003,1.0
0,4.16,0.8571428571428571
0,3.7600000000000002,0.8571428571428571
0,5.72,0.8
0,2.2,1.0
0,3.8,0.7142857142857143
0,5.16,0.7777777777777778
0,3.2800000000000002,0.6666666666666666
0,2.7199999999999998,0.6
0,4.640000000000001,0.75
0,5.640000000000001,0.6
0,1.7200000000000002,1.0
0,2.2,0.75
0,3.8,0.5714285714285714
0,3.56,0.8333333333333334
0,1.56,0.6666666666666666
0,4.44,0.625
0,4.24,0.75
0,3.48,0.8333333333333334
0,1.92,1.0
0,7.44,0.7142857142857143
0,3.72,0.7142857142857143
0,4.0,0.8571428571428571
0,5.36,0.7
0,6.92,0.6923076923076923
0,4.28,0.75
0,3.52,0.8333333333333334
0,5.84,0.7272727272727273
0,2.84,0.8
0,2.2800000000000002,0.75
0,5.2,0.8888888888888888
0,1.76,0.6666666666666666
0,5.720000000000001,0.9
0,3.3600000000000003,0.8333333333333334
0,4.12,0.8571428571428571
0,2.8,0.8
0,4.68,0.875
0,2.2800000000000002,0.75
0,5.2,0.8888888888888888
0,3.3600000000000003,0.6666666666666666
0,4.12,1.0
0,3.56,0.8333333333333334
0,5.640000000000001,0.6363636363636364
0,4.28,0.75
0,4.0,0.7142857142857143
0,2.7600000000000002,0.8
0,6.04,0.6363636363636364
0,3.6,0.5714285714285714
0,3.2,0.5
0,5.48,0.5
0,3.64,0.42857142857142855
0,2.12,0.5
0,3.88,0.7142857142857143
0,4.48,0.75
0,6.16,0.5833333333333334
0,4.08,0.625
0,8.08,0.6666666666666666
0,2.16,0.5
0,6.6000000000000005,0.75
0,3.84,0.7142857142857143
0,3.2800000000000002,0.6666666666666666
0,5.48,0.7
0,6.0,0.7272727272727273
0,5.5600000000000005,0.8
0,2.96,0.8
0,5.24,0.6
0,3.9200000000000004,0.7142857142857143
0,4.5600000000000005,0.75
0,5.32,0.6
0,4.84,0.6666666666666666
0,2.2800000000000002,1.0
0,4.36,0.75
0,5.12,0.8888888888888888
0,4.12,0.75
0,3.12,1.0
0,3.56,0.7142857142857143
0,5.84,0.5454545454545454
0,1.1600000000000001,1.0
0,4.84,0.6666666666666666
0,6.2,0.7272727272727273
0,4.5600000000000005,0.75
0,1.0,0.5
0,2.56,0.6
0,3.92,0.7142857142857143
0,2.7600000000000002,0.6
0,3.3200000000000003,0.6666666666666666
0,2.84,0.6
0,6.76,0.8333333333333334
0,4.640000000000001,0.6666666666666666
0,3.56,0.5714285714285714
0,5.12,0.8888888888888888
0,6.2,0.6666666666666666
0,2.8,0.8
0,4.68,0.875
0,3.56,0.8333333333333334
0,3.92,0.8571428571428571
0,3.0,1.0
0,4.48,0.75
0,3.52,0.8333333333333334
0,3.96,0.8571428571428571
0,5.76,0.8
0,5.08,0.7777777777777778
0,4.68,0.875
0,4.0,0.8571428571428571
0,4.5200000000000005,0.75
0,3.84,0.7142857142857143
0,5.6000000000000005,0.8
0,4.92,0.7777777777777778
0,5.2,0.7777777777777778
0,4.5200000000000005,0.75
0,5.720000000000001,0.9
0,5.04,0.8888888888888888
0,5.0,0.7777777777777778
0,4.32,0.75
0,5.36,0.8888888888888888
0,4.5600000000000005,0.625
0,4.68,0.875
0,4.6,0.875
0,4.36,0.875
0,3.92,0.8571428571428571
0,4.5600000000000005,0.75
0,3.88,0.7142857142857143
0,5.44,0.8888888888888888
0,4.76,0.875
0,5.0,0.6666666666666666
0,6.28,0.5
0,4.32,0.625
0,5.5200000000000005,0.8
0,4.84,0.7777777777777778
0,5.720000000000001,0.8
0,5.04,0.7777777777777778
0,5.640000000000001,0.8
0,4.96,0.7777777777777778
0,4.720000000000001,0.875
0,4.04,0.8571428571428571
0,1.56,0.6666666666666666
0,5.92,0.9
0,4.28,0.2
0,7.36,0.5
0,4.32,0.4
0,3.92,0.7142857142857143
0,5.28,0.6
0,5.5200000000000005,0.6363636363636364
0,4.56,0.5555555555555556
0,5.4,0.7
0,3.64,0.42857142857142855
0,7.08,0.7692307692307693
0,3.92,0.7142857142857143
0,6.76,0.3333333333333333
0,6.88,0.5384615384615384
0,0.88,0.0
0,7.24,0.6923076923076923
0,2.92,0.8
0,2.72,0.8
0,5.8,0.6363636363636364
0,5.96,0.4166666666666667
0,4.12,0.5
0,6.04,0.8181818181818182
0,6.48,0.5
0,5.5200000000000005,0.7
0,4.84,0.4444444444444444
0,4.92,0.6
0,4.720000000000001,0.5555555555555556
0,3.72,0.5714285714285714
0,4.640000000000001,0.75
0,3.56,0.7142857142857143
0,3.16,0.6666666666666666
0,5.72,0.45454545454545453
0,6.96,0.6153846153846154
0,6.32,0.75
0,6.08,0.8181818181818182
0,4.04,0.7142857142857143
0,5.640000000000001,0.8
0,4.6,0.6666666666666666
0,3.76,0.5714285714285714
0,5.16,0.6
0,4.84,0.45454545454545453
0,5.68,0.3076923076923077
0,4.92,0.4
0,4.92,0.6666666666666666
0,5.08,0.6666666666666666
0,6.0,0.4166666666666667
0,6.4,0.7272727272727273
0,1.6,0.3333333333333333
0,6.88,0.5384615384615384
0,6.0,0.7
0,7.24,0.375
0,3.08,0.6666666666666666
0,7.0,0.6923076923076923
0,4.12,0.625
0,4.8,0.4444444444444444
0,6.0,0.5
0,6.36,0.5
0,5.72,0.6363636363636364
0,7.2,0.7692307692307693
0,6.72,0.3333333333333333
0,4.36,0.75
0,7.16,0.375
0,4.4,0.5555555555555556
0,5.48,0.7
0,4.4,0.625
0,5.0,0.6666666666666666
0,5.44,0.6
0,4.44,0.75
0,4.44,0.75
0,6.36,0.38461538461538464
0,5.44,0.25
0,2.56,0.4
0,5.24,0.3333333333333333
0,5.800000000000001,0.8
0,4.96,0.7777777777777778
0,4.8,0.6666666666666666
0,5.800000000000001,0.8
0,6.68,0.3333333333333333
0,2.88,0.5
0,4.36,0.3333333333333333
0,4.76,0.7777777777777778
0,2.56,1.0
0,3.8800000000000003,0.7142857142857143
0,6.2,0.35714285714285715
0,6.76,0.5384615384615384
0,4.8,0.36363636363636365
0,6.4,0.6666666666666666
0,6.32,0.6666666666666666
0,5.640000000000001,0.45454545454545453
0,6.64,0.38461538461538464
0,6.36,0.35714285714285715
0,3.24,0.5
0,3.48,0.6666666666666666
0,2.84,0.6
0,6.88,0.5384615384615384
0,5.52,0.6
0,6.2,0.8181818181818182
0,4.24,0.625
0,5.92,0.7272727272727273
0,1.28,1.0
0,4.08,0.75
0,4.84,0.4444444444444444
0,3.7600000000000002,0.5714285714285714
0,5.800000000000001,0.6363636363636364
0,5.84,0.6363636363636364
0,6.36,0.42857142857142855
0,4.44,0.5555555555555556
0,5.48,0.4166666666666667
0,3.6,0.5714285714285714
0,4.92,0.5555555555555556
0,3.96,0.625
0,5.0,0.6
0,4.96,0.2727272727272727
0,6.16,0.38461538461538464
0,4.720000000000001,0.6666666666666666
0,5.96,0.3076923076923077
0,4.28,0.5
0,5.2,0.4
0,4.4,0.5
0,3.92,0.5714285714285714
0,3.8800000000000003,0.7142857142857143
0,3.68,0.5714285714285714
0,3.72,0.7142857142857143
0,5.0,0.5555555555555556
0,4.08,0.5
0,6.0,0.7272727272727273
0,6.44,0.8181818181818182
0,5.44,0.7
0,4.44,0.75
0,4.44,0.75
0,5.36,0.6
0,7.5200000000000005,0.6428571428571429
0,2.0,0.5
0,2.0,0.75
0,6.16,0.6363636363636364
0,3.3600000000000003,0.42857142857142855
0,8.32,0.6666666666666666
0,4.08,0.3333333333333333
0,6.32,0.5
0,3.68,0.5
0,5.84,0.4166666666666667
0,4.5200000000000005,0.75
0,4.32,0.75
0,7.0,0.6923076923076923
0,4.72,0.3
0,3.8000000000000003,0.5714285714285714
0,6.48,0.5
0,5.04,0.6
0,6.88,0.5714285714285714
0,4.44,0.4444444444444444
0,5.5600000000000005,0.6
0,3.16,0.8333333333333334
0,4.76,0.4444444444444444
0,7.04,0.25
0,5.96,0.6363636363636364
0,3.2,0.2857142857142857
0,5.96,0.5833333333333334
0,7.0,0.3125
0,5.0,0.5555555555555556
0,7.16,0.375
0,5.5200000000000005,0.5454545454545454
0,6.4,0.5833333333333334
0,5.48,0.8
0,6.68,0.5384615384615384
0,6.04,0.6666666666666666
0,5.32,0.6
0,6.0,0.8181818181818182
0,4.88,0.2727272727272727
0,5.4,0.8
0,6.12,0.2857142857142857
0,6.76,0.3333333333333333
0,7.36,0.4375
0,6.32,0.5
0,4.96,0.5555555555555556
0,7.16,0.6153846153846154
0,6.44,0.5
0,6.24,0.6666666666666666
0,5.28,0.5
0,6.88,0.5
0,4.0,0.3333333333333333
0,4.56,0.2
0,3.64,0.25
0,4.28,0.7142857142857143
0,5.32,0.7
0,5.64,0.15384615384615385
0,6.68,0.26666666666666666
0,3.56,0.2857142857142857
0,4.92,0.6666666666666666
0,5.2,0.7777777777777778
0,5.84,0.45454545454545453
0,3.68,0.7142857142857143
0,6.16,0.5
0,4.76,0.6666666666666666
0,6.2,0.2857142857142857
0,4.8,0.5555555555555556
0,5.04,0.6666666666666666
0,4.0,0.625
0,5.4,0.7
0,3.52,0.5714285714285714
0,5.8,0.46153846153846156
0,4.08,0.2222222222222222
0,5.24,0.25
0,3.8000000000000003,0.7142857142857143
0,5.36,0.6
0,5.44,0.7
0,5.4,0.3333333333333333
0,4.04,0.5
0,4.36,0.875
0,6.16,0.38461538461538464
0,5.84,0.38461538461538464
0,6.4,0.5384615384615384
0,5.28,0.5
0,6.12,0.3333333333333333
0,5.6,0.5
0,5.4,0.5
0,4.8,0.6666666666666666
0,5.5600000000000005,0.3333333333333333
0,5.0,0.45454545454545453
0,4.84,0.4444444444444444
0,4.76,0.75
0,5.0,0.6666666666666666
0,4.640000000000001,0.6666666666666666
0,3.7199999999999998,0.42857142857142855
0,4.44,0.625
0,5.32,0.6
0,3.4400000000000004,0.8333333333333334
0,3.3600000000000003,0.6666666666666666
0,5.16,0.7777777777777778
0,4.52,0.75
0,4.2,0.8571428571428571
0,3.24,0.5
0,5.16,0.7
0,5.08,0.6666666666666666
0,5.12,0.6
0,5.04,0.7
0,5.76,0.3076923076923077
0,4.84,0.6666666666666666
0,5.72,0.8
0,4.08,0.8571428571428571
0,2.6,1.0
0,6.5200000000000005,0.5833333333333334
0,5.44,0.6
0,4.96,0.2727272727272727
0,5.68,0.36363636363636365
0,5.32,0.6666666666666666
0,3.8,0.8333333333333334
0,2.44,0.4
0,5.68,0.6
0,4.88,0.5
0,6.36,0.6363636363636364
0,4.36,0.3333333333333333
0,4.08,0.5
0,7.4,0.5
0,8.92,0.47368421052631576
0,6.92,0.6153846153846154
0,4.5600000000000005,0.75
0,7.0,0.4
0,3.92,0.25
0,5.08,0.36363636363636365
0,4.5200000000000005,0.5555555555555556
0,4.640000000000001,0.5
0,8.68,0.5555555555555556
0,4.48,0.75
0,2.6,0.6
0,6.5600000000000005,0.6666666666666666
0,6.72,0.75
0,7.76,0.4375
0,6.680000000000001,0.9090909090909091
0,6.04,0.7272727272727273
0,5.92,0.7272727272727273
0,3.96,0.5714285714285714
0,6.84,0.5384615384615384
0,5.48,0.6
0,6.16,0.8181818181818182
0,5.68,0.8
0,6.6000000000000005,0.6666666666666666
0,6.08,0.8181818181818182
0,5.8,0.5454545454545454
0,6.2,0.35714285714285715
0,4.44,0.625
0,5.12,0.8888888888888888
0,6.04,0.7272727272727273
0,6.16,0.4166666666666667
0,4.8,0.2727272727272727
0,4.8,0.5555555555555556
0,5.44,0.6363636363636364
0,4.720000000000001,0.5555555555555556
0,5.32,0.3333333333333333
0,5.28,0.4
0,5.96,0.6363636363636364
0,5.32,0.7
0,5.680000000000001,0.8
0,6.6000000000000005,0.6666666666666666
0,7.0,0.5384615384615384
0,2.2,0.5
0,6.32,0.8181818181818182
0,5.6,0.7
0,3.56,1.0
0,5.68,0.6363636363636364
0,5.800000000000001,0.7
0,5.08,0.5555555555555556
0,5.76,0.8
0,7.28,0.375
0,6.5600000000000005,0.5833333333333334
0,6.96,0.4
0,5.88,0.9
0,4.64,0.6666666666666666
0,7.4,0.4666666666666667
0,3.88,0.375
0,4.28,0.3333333333333333
0,5.640000000000001,1.0
0,4.44,0.4444444444444444
0,6.24,0.21428571428571427
0,5.720000000000001,0.5454545454545454
0,5.84,0.45454545454545453
0,4.08,1.0
0,4.88,0.7777777777777778
0,5.44,0.5454545454545454
0,4.84,0.5555555555555556
0,4.32,0.5
0,5.64,0.38461538461538464
0,5.04,0.5555555555555556
0,3.52,0.42857142857142855
0,5.5600000000000005,0.6
0,5.24,0.6666666666666666
0,4.76,0.4
0,4.48,0.6666666666666666
0,4.8,0.5555555555555556
0,4.16,0.625
0,5.48,0.45454545454545453
0,5.28,0.5
0,4.8,0.2727272727272727
0,5.48,0.45454545454545453
0,5.8,0.7272727272727273
0,4.88,0.7777777777777778
0,5.6,0.6363636363636364
0,4.68,0.4
0,4.48,0.5555555555555556
0,6.36,0.35714285714285715
0,3.84,0.7142857142857143
0,4.72,0.5555555555555556
0,4.84,0.7777777777777778
0,5.04,0.7777777777777778
0,4.8,0.5555555555555556
0,5.64,0.36363636363636365
0,5.88,0.38461538461538464
0,5.0,0.5
0,6.28,0.42857142857142855
0,5.24,0.6
0,6.28,0.42857142857142855
0,6.68,0.42857142857142855
0,3.6,0.7142857142857143
0,5.36,0.25
0,4.24,0.625
0,5.76,0.7272727272727273
0,6.4,0.35714285714285715
0,6.36,0.35714285714285715
0,6.48,0.35714285714285715
0,6.8,0.4
0,4.4,0.625
0,3.56,0.2857142857142857
0,4.84,0.5555555555555556
0,4.36,0.625
0,4.72,0.18181818181818182
0,4.28,0.625
0,3.84,0.5714285714285714
0,4.5200000000000005,0.625
0,4.0,0.8571428571428571
0,5.2,0.6
0,4.24,0.625
0,5.88,0.38461538461538464
0,3.8000000000000003,0.7142857142857143
0,5.640000000000001,0.7
0,4.88,0.6666666666666666
0,3.0,0.5
0,7.04,0.4
0,4.08,0.7142857142857143
0,6.08,0.7272727272727273
0,6.44,0.5833333333333334
0,4.0,0.7142857142857143
0,3.4400000000000004,0.8333333333333334
0,6.48,0.42857142857142855
0,3.6,0.8333333333333334
0,4.0,0.7142857142857143
0,5.8,0.45454545454545453
0,4.88,0.7777777777777778
0,5.84,0.3076923076923077
0,5.32,0.25
0,5.04,0.8888888888888888
0,3.24,0.8333333333333334
0,4.04,0.625
0,5.84,0.7
0,3.8,0.7142857142857143
0,6.68,0.5
0,7.2,0.4666666666666667
0,5.12,0.6666666666666666
0,3.16,0.6666666666666666
0,3.88,0.7142857142857143
0,5.96,0.38461538461538464
0,5.24,0.7
0,4.720000000000001,0.875
0,6.0,0.8
0,4.44,0.75
0,5.48,0.7
0,4.76,0.6666666666666666
0,6.92,0.4
0,4.76,0.6666666666666666
0,5.12,0.5
0,5.640000000000001,0.6363636363636364
0,4.92,0.6666666666666666
0,5.92,0.7272727272727273
0,4.5600000000000005,0.6666666666666666
0,5.12,0.6666666666666666
0,6.28,0.35714285714285715
0,5.8,0.46153846153846156
0,3.4000000000000004,0.5714285714285714
0,4.92,0.5555555555555556
0,5.0,0.45454545454545453
0,8.76,0.4444444444444444
0,2.2,0.2
0,4.88,0.75
0,7.2,0.5384615384615384
0,6.88,0.6666666666666666
0,7.800000000000001,0.6428571428571429
0,3.76,0.5
0,4.0,0.375
0,7.96,0.47058823529411764
0,7.08,0.4666666666666667
0,3.24,0.42857142857142855
0,4.52,0.4444444444444444
0,6.4,0.5833333333333334
0,5.96,0.6363636363636364
0,4.48,0.75
0,4.720000000000001,0.7777777777777778
0,5.84,0.6363636363636364
0,4.76,0.6666666666666666
0,2.64,0.6
0,5.0,0.4
0,5.04,0.36363636363636365
0,3.64,0.25
0,2.84,0.16666666666666666
0,3.64,0.5714285714285714
0,4.2,0.4444444444444444
0,3.4,0.42857142857142855
0,6.12,0.5833333333333334
0,7.08,0.5333333333333333
0,5.12,0.6666666666666666
0,4.44,0.75
0,5.04,0.7777777777777778
0,6.0,0.5454545454545454
0,2.16,0.75
0,7.28,0.6153846153846154
0,6.96,0.75
0,7.6000000000000005,0.7692307692307693
0,6.0,0.5
0,5.28,0.4
0,5.16,0.7
0,4.44,0.625
0,6.84,0.6153846153846154
0,7.08,0.6923076923076923
0,0.52,1.0
0,6.92,0.6923076923076923
0,6.08,0.5
0,5.0,0.6
0,4.28,0.5
0,4.96,0.7777777777777778
0,5.88,0.6363636363636364
0,1.3599999999999999,0.0
0,5.96,0.5454545454545454
0,6.2,0.7272727272727273
0,5.08,0.6
0,5.96,0.6363636363636364
0,6.36,0.6666666666666666
0,7.4,0.375
0,6.5600000000000005,0.6666666666666666
0,7.5600000000000005,0.4375
0,7.4,0.7692307692307693
0,6.84,0.3333333333333333
0,6.76,0.5384615384615384
0,6.12,0.6666666666666666
0,3.92,0.5714285714285714
0,6.2,0.7272727272727273
0,4.6,0.4
0,4.8,0.875
0,4.68,0.4
0,4.88,0.6
0,6.12,0.35714285714285715
0,4.76,0.5555555555555556
0,5.12,0.5555555555555556
0,4.64,0.6666666666666666
0,5.32,0.4166666666666667
0,6.36,0.5
0,6.04,0.5454545454545454
0,6.24,0.5
0,4.5600000000000005,0.75
0,4.92,0.5
0,5.08,0.6666666666666666
0,6.32,0.5
0,6.44,0.35714285714285715
0,5.88,0.46153846153846156
0,4.12,0.625
0,4.44,0.6666666666666666
0,5.96,0.3076923076923077
0,4.32,0.5
0,5.24,0.8
0,5.44,0.8
0,4.720000000000001,0.6666666666666666
0,5.32,0.4166666666666667
0,5.28,0.6
0,5.72,0.6363636363636364
0,6.28,0.35714285714285715
0,5.76,0.3076923076923077
0,5.04,0.8888888888888888
0,5.720000000000001,0.6363636363636364
0,6.16,0.2857142857142857
0,3.96,0.5
0,4.36,0.5
0,5.84,0.38461538461538464
0,6.12,0.2857142857142857
0,5.32,0.3333333333333333
0,6.36,0.35714285714285715
0,5.32,0.3333333333333333
0,5.88,0.3076923076923077
0,6.52,0.35714285714285715
0,6.4,0.35714285714285715
0,6.08,0.38461538461538464
0,4.8,0.2727272727272727
0,5.84,0.3076923076923077
0,5.5200000000000005,0.6363636363636364
0,4.88,0.6666666666666666
0,4.12,0.75
0,3.88,0.625
0,4.36,0.6666666666666666
0,5.32,0.25
0,6.5600000000000005,0.42857142857142855
0,5.92,0.3076923076923077
0,6.76,0.42857142857142855
0,3.52,0.7142857142857143
0,6.36,0.35714285714285715
0,3.56,0.25
0,6.640000000000001,0.3333333333333333
0,4.28,0.625
0,6.8,0.4
0,7.0,0.4666666666666667
0,4.720000000000001,0.6666666666666666
0,6.0,0.5384615384615384
0,4.28,0.5
0,5.36,0.4166666666666667
0,6.2,0.5384615384615384
0,5.92,0.46153846153846156
0,4.12,0.375
0,5.48,0.3333333333333333
0,4.6,0.3333333333333333
0,4.24,1.0
0,4.4,0.5
0,4.52,0.625
0,4.720000000000001,0.75
0,5.5600000000000005,0.7777777777777778
0,4.0,0.7142857142857143
0,4.76,0.36363636363636365
0,4.640000000000001,0.625
0,4.92,0.75
0,4.16,0.5
0,5.4,0.4166666666666667
0,3.88,0.5714285714285714
0,4.12,0.7142857142857143
0,3.68,0.5714285714285714
0,6.0,0.3076923076923077
0,6.04,0.46153846153846156
0,5.640000000000001,0.7
0,5.640000000000001,0.7
0,4.28,0.5
0,4.4,0.75
0,5.96,0.38461538461538464
0,3.2800000000000002,0.6666666666666666
0,4.4,0.75
0,5.28,0.8888888888888888
0,5.16,0.8888888888888888
0,4.96,0.6666666666666666
0,5.08,0.5
0,6.640000000000001,0.5833333333333334
0,4.2,0.75
0,3.08,0.6666666666666666
0,4.08,0.5
0,5.36,0.7777777777777778
0,4.720000000000001,0.75
0,6.24,0.8181818181818182
0,6.12,0.7272727272727273
0,4.2,0.75
0,5.92,0.45454545454545453
0,4.32,0.625
0,5.96,0.3076923076923077
0,5.16,0.7
0,5.48,0.4166666666666667
0,4.08,0.7142857142857143
0,4.8,0.4
0,5.24,0.6
0,4.68,0.6666666666666666
0,4.8,0.5555555555555556
0,5.88,0.3076923076923077
0,6.48,0.35714285714285715
0,3.8000000000000003,0.5714285714285714
0,4.32,0.75
0,4.48,0.4444444444444444
0,4.36,0.75
0,4.84,0.7777777777777778
0,6.08,0.46153846153846156
0,4.6,0.5555555555555556
0,3.4800000000000004,0.6666666666666666
0,4.84,1.0
0,4.0,0.8571428571428571
0,5.4,0.5
0,5.6000000000000005,0.7
0,5.12,0.6666666666666666
0,4.32,0.625
0,5.16,0.7777777777777778
0,3.56,0.8333333333333334
0,3.44,0.42857142857142855
0,5.4,0.7
0,5.04,0.5
0,7.0,0.6923076923076923
0,5.92,0.7272727272727273
0,4.0,0.375
0,4.52,0.4444444444444444
0,6.0,0.5
0,4.6,0.4444444444444444
0,6.36,0.35714285714285715
0,3.8,0.42857142857142855
0,3.44,0.5
0,8.2,0.47058823529411764
0,5.92,0.4166666666666667
0,5.84,0.38461538461538464
0,6.2,0.35714285714285715
0,2.24,0.0
0,7.84,0.5
0,6.44,0.46153846153846156
0,4.52,0.3
0,4.32,0.3333333333333333
0,6.720000000000001,0.6666666666666666
0,5.0,0.875
0,3.96,1.0
0,4.84,0.875
0,7.24,0.5
0,3.04,0.3333333333333333
0,4.64,0.4444444444444444
0,8.280000000000001,0.7333333333333333
0,2.52,0.2
0,4.12,0.375
0,6.24,0.5384615384615384
0,7.04,0.5333333333333333
0,2.92,0.3333333333333333
0,6.5600000000000005,0.42857142857142855
0,5.68,0.4166666666666667
0,3.7600000000000002,0.7142857142857143
0,4.36,0.625
0,4.2,0.625
0,5.88,0.5454545454545454
0,2.68,0.8
0,3.12,0.6666666666666666
0,2.6,0.6
0,4.12,0.625
0,4.24,0.625
0,4.5600000000000005,0.4444444444444444
0,3.2,0.2857142857142857
0,7.2,0.4666666666666667
0,6.76,0.5
0,2.04,0.25
0,7.24,0.5333333333333333
0,7.5600000000000005,0.4375
0,7.5200000000000005,0.6
0,8.32,0.5882352941176471
0,2.88,0.16666666666666666
0,6.720000000000001,0.5714285714285714
0,5.44,0.5
0,5.76,0.45454545454545453
0,5.48,0.7
0,6.84,0.6666666666666666
0,2.88,0.6
0,4.44,0.875
0,5.92,0.8
0,5.24,0.5
0,1.3599999999999999,0.0
0,1.56,0.6666666666666666
0,1.48,0.6666666666666666
0,5.48,0.7
0,6.16,0.5
0,1.4,0.6666666666666666
0,5.28,0.8888888888888888
0,0.68,1.0
0,5.04,0.7777777777777778
0,0.44,0.0
0,1.6800000000000002,1.0
0,6.5200000000000005,0.75
0,1.8800000000000001,1.0
0,5.2,0.6666666666666666
0,5.4,0.6
0,2.52,0.16666666666666666
0,3.04,0.5
0,6.84,0.75
0,2.8,0.16666666666666666
0,7.5200000000000005,0.5625
0,2.6,0.4
0,3.08,0.5
0,8.24,0.4117647058823529
0,6.92,0.6923076923076923
0,3.48,0.42857142857142855
0,6.12,0.38461538461538464
0,2.7199999999999998,0.3333333333333333
0,5.0,0.6666666666666666
0,6.32,0.21428571428571427
0,4.72,0.5
0,6.28,0.38461538461538464
0,4.24,0.625
0,4.6,0.5
0,7.08,0.4666666666666667
0,3.84,0.7142857142857143
0,6.04,0.4166666666666667
0,8.08,0.47058823529411764
0,3.76,0.42857142857142855
0,1.6800000000000002,0.6666666666666666
0,2.04,0.25
0,7.16,0.6153846153846154
0,4.96,0.6666666666666666
0,2.56,0.6
0,7.6000000000000005,0.7142857142857143
0,4.08,0.625
0,6.72,0.5833333333333334
0,6.6,0.38461538461538464
0,3.0,0.42857142857142855
0,4.48,0.3333333333333333
0,2.84,0.3333333333333333
0,5.28,0.7777777777777778
0,4.800000000000001,0.75
0,5.6000000000000005,0.45454545454545453
0,2.56,0.4
0,4.92,0.4
0,5.96,0.5454545454545454
0,4.76,0.5555555555555556
0,4.44,0.75
0,3.3600000000000003,0.42857142857142855
0,6.48,0.2857142857142857
0,3.24,0.5714285714285714
0,3.44,0.5714285714285714
0,6.88,0.4
0,6.5600000000000005,0.46153846153846156
0,3.72,0.625
0,5.04,0.5555555555555556
0,4.12,0.375
0,5.88,0.6363636363636364
0,2.7600000000000002,0.8
0,1.96,0.25
0,7.76,0.4117647058823529
0,3.3200000000000003,0.6666666666666666
0,5.88,0.45454545454545453
0,6.68,0.42857142857142855
0,5.720000000000001,0.6363636363636364
0,6.0,0.5
0,4.84,0.3
0,5.680000000000001,0.7
0,2.72,0.6
0,2.12,0.5
0,6.640000000000001,0.5833333333333334
0,4.0,0.5
0,4.68,0.6666666666666666
0,8.24,0.5625
0,6.6,0.5714285714285714
0,2.84,0.3333333333333333
0,4.8,0.36363636363636365
0,5.16,0.5555555555555556
0,3.64,0.5
0,6.28,0.3076923076923077
0,5.4,0.36363636363636365
0,5.4,0.36363636363636365
0,5.12,0.8888888888888888
0,4.4,0.3333333333333333
0,5.0,0.7777777777777778
0,4.5200000000000005,0.4444444444444444
0,4.0,0.1111111111111111
0,5.88,0.7272727272727273
0,6.88,0.5833333333333334
0,5.28,0.25
0,5.36,0.25
0,4.16,0.7142857142857143
0,5.8,0.3076923076923077
